ISOTime,wl,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2019 00:00:00,0.675,35.86517396,19.97120521,1,0,8.877032,199.585228,11.699826,0.917496,0.925046,0.235687,171.79034,63.179034,10.626079,7.333008,0.178414,2.082413,12.363373,0.437671
01/01/2019 01:00:00,0.66,35.86674601,19.98588642,1,0,8.880657,199.624933,11.701117,0.917336,0.925223,0.235623,171.639273,63.163927,10.62867,7.325736,0.178894,2.082931,12.356897,0.43808
01/01/2019 02:00:00,0.6,35.86831806,20.00056762,1,0,8.884283,199.664637,11.702407,0.917177,0.9254,0.235559,171.488207,63.148821,10.63126,7.318465,0.179374,2.08345,12.350421,0.43849
01/01/2019 03:00:00,0.53,35.86989011,20.01524883,1,0,8.887909,199.704342,11.703698,0.917017,0.925577,0.235495,171.33714,63.133714,10.633851,7.311194,0.179854,2.083969,12.343944,0.438899
01/01/2019 04:00:00,0.47,35.87146216,20.02993004,1,0,8.891534,199.744047,11.704989,0.916858,0.925755,0.235431,171.186074,63.118607,10.636441,7.303923,0.180334,2.084487,12.337468,0.439308
01/01/2019 05:00:00,0.51,35.8730342,20.04461124,1,0,8.89516,199.783751,11.706279,0.916698,0.925932,0.235367,171.035007,63.103501,10.639032,7.296652,0.180814,2.085006,12.330992,0.439718
01/01/2019 06:00:00,0.55,35.87460625,20.05929245,1,0,8.898785,199.823456,11.70757,0.916539,0.926109,0.235303,170.883941,63.088394,10.641622,7.289381,0.181294,2.085524,12.324516,0.440127
01/01/2019 07:00:00,0.57,35.8761783,20.07397366,1,0,8.902411,199.86316,11.70886,0.916379,0.926286,0.23524,170.732874,63.073287,10.644213,7.28211,0.181773,2.086043,12.318039,0.440537
01/01/2019 08:00:00,0.59,35.87775035,20.08865486,1,0,8.906037,199.902865,11.710151,0.91622,0.926463,0.235176,170.581808,63.058181,10.646803,7.274839,0.182253,2.086561,12.311563,0.440946
01/01/2019 09:00:00,0.63,35.8793224,20.10333607,1,0,8.909662,199.942569,11.711442,0.91606,0.92664,0.235112,170.430741,63.043074,10.649394,7.267568,0.182733,2.08708,12.305087,0.441356
01/01/2019 10:00:00,0.65,35.88089445,20.11801728,1,0,8.913288,199.982274,11.712732,0.915901,0.926817,0.235048,170.279675,63.027967,10.651984,7.260297,0.183213,2.087598,12.298611,0.441765
01/01/2019 11:00:00,0.73,35.8824665,20.13269848,1,0,8.916913,200.021979,11.714023,0.915742,0.926994,0.234984,170.128608,63.012861,10.654575,7.253026,0.183693,2.088117,12.292134,0.442175
01/01/2019 12:00:00,0.73,35.88403855,20.14737969,1,0,8.920539,200.061683,11.715314,0.915582,0.927172,0.23492,169.977541,62.997754,10.657165,7.245755,0.184173,2.088635,12.285658,0.442584
01/01/2019 13:00:00,0.76,35.88561059,20.1620609,1,0,8.924165,200.101388,11.716604,0.915423,0.927349,0.234856,169.826475,62.982647,10.659756,7.238484,0.184652,2.089154,12.279182,0.442994
01/01/2019 14:00:00,0.83,35.88718264,20.1767421,1,0,8.92779,200.141092,11.717895,0.915263,0.927526,0.234792,169.675408,62.967541,10.662346,7.231213,0.185132,2.089672,12.272706,0.443403
01/01/2019 15:00:00,0.89,35.88875469,20.19142331,1,0,8.931416,200.180797,11.719186,0.915104,0.927703,0.234728,169.524342,62.952434,10.664937,7.223942,0.185612,2.090191,12.266229,0.443813
01/01/2019 16:00:00,0.94,35.89032674,20.20610452,1,0,8.935041,200.220502,11.720476,0.914944,0.92788,0.234664,169.373275,62.937328,10.667527,7.216671,0.186092,2.09071,12.259753,0.444222
01/01/2019 17:00:00,0.99,35.89189879,20.22078572,1,0,8.938667,200.260206,11.721767,0.914785,0.928057,0.2346,169.222209,62.922221,10.670118,7.2094,0.186572,2.091228,12.253277,0.444632
